Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
House of Kieraya,2013.0,Bangalore,Lifestyle,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",Ajith Mohan Karimpana,TradeCred,15000000.0,Series D,2021
goEgoNetwork,2019.0,Pune,Transport,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.","Dheeman Kadam, Sayantan Chakraborti",Elevation Capital,2000000.0,Series E,2021
Probus,2017.0,New Delhi,Iot,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",Utham Gowda,Unicorn India Ventures,500000.0,Bridge,2021
DrinkPrime,2016.0,Bangalore,Consumer Goods,India's Smartest Water Purifiers and are redefining water purifier ownership.,Anil Kejriwal,"UC Inclusive Credit, Western Capital",1000000.0,Private Equity,2021
Smart Express,2016.0,Mumbai,Transport,India’s Most Innovative and Awarded Express Logistics Company.,Yogesh Dhingra,"IIFL India Private Equity Fund, Smiti Holding & Trading Company",10000000.0,Seed,2021
Smallcase,2015.0,Bangalore,Finance,Smallcase is a new way to invest in the stock markets.,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,40000000.0,Series C,2021
SATYA MicroCapital,2017.0,New Delhi,Finance,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,Vivek Tiwari,"responsAbility Investments, Blue Orchard",10000000.0,Debt Financing,2021
Snack Amor,2014.0,Mumbai,Food & Beverages,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",Deepak Grover,"Sanchit Agarwal, Sujan Sinha, Michael Cooke",4000000.0,Series I,2021
Postman,2014.0,Bangalore,Computer Software,Postman is the collaboration platform for API development.,"Abhinav Asthana, Abhijit Kane, Ankit Sobti","CRV, Nexus Venture Partners",225000000.0,Series D,2021
Hashnode,2016.0,Bangalore,Computer Software,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Syed Fazle Rahman, Sandeep Panda","Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge",6700000.0,Series A,2021
RACEnergy,2018.0,Hyderabad,Transport,RACEnergy is working to power the future of mobility through clean and efficient technologies.,Arun Sreyas Reddy,"Micelio Fund, growX ventures",1300000.0,Seed,2021
BharatPe,2018.0,New Delhi,Finance,The vision to make financial inclusion a reality for Indian merchants.,"Ashneer Grover, Shashvat Nakrani","IIFL Wealth, Asset Management, Northern Arc Capital",20000000.0,Series E,2021
Gyde,2019.0,Pune,Computer Software,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Prasanna Vaidya, Shubham Deshmukh","Better Capital, Ashish Achrekar",250000.0,Seed,2021
BatteryPool,2018.0,Pune,Transport,Building the Operating System for managing Electric Vehicles in fleets.,Ashwin Shankar,IAN,4000000.0,Seed,2021
AgNext,2016.0,Chandigarh,Agritech,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Taranjeet Singh Bhamra,Alpha Wave Incubation,21000000.0,Series A,2021
Xpresslane,2019.0,Bangalore,Tech Startup,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",Ashwin Koorakula,"Point One Capital, Yatra Angel Network (YAN), Opus Consulting, Manipal Technologies.",400000.0,Series A+,2021
LoanKuber,2016.0,New Delhi,Digital Mortgage,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,Saurabh Nagpal,Alteria Capital,1200000.0,Series H,2021
OYO,2013.0,Gurugram,Hospitality,OYO is a global travel tech company that connects its patrons and guests.,Ritesh Agarwal,Microsoft,5000000.0,Pre-Seed,2021
Rapido,2015.0,Bangalore,Information Technology & Services,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,"Aravind Sanka, Pavan Guntupalli, SR Rishikesh","Shell Ventures, Yamaha, Kunal Shah",52000000.0,Series A+,2021
YPay,2017.0,Noida,Finance,YPay Card is the new way to manage money.,Dr Navneet Gupta,We Founder Circle,400000.0,Series A,2021
SleepyCat,2017.0,Mumbai,Furniture,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,Kabir Siddiq,"Saama Capital, DSG Consumer Partners, Sharrp Ventures",3800000.0,Series D1,2021
Ultrahuman,2020.0,Bangalore,Healthcare,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,17500000.0,Series H,2021
UpScalio,2021.0,Gurugram,E-Commerce,"UpScalio is India’s next generation, data-driven consumer goods company.",Gautam Kshatriya,SucSEED Indovation Fund,42000000.0,Series C,2021
Yellow Class,2020.0,Gurugram,Edtech,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on","Anshul Gupta, Arpit Mittal",Elevation Capital,6000000.0,Series C,2021
Yojak,2019.0,Gurugram,B2B Marketplace,India’s first B2B online marketplace for building material.,Anuj Jain,Info Edge Ventures,3800000.0,Seed,2021
CreatorStack,2019.0,Bangalore,Computer Software,Helping creators globally to engage deeply with their fans and communities,"Ankit Acharya, Kevin William David",Accel,2000000.0,Early Seed,2021
Expertrons,2019.0,Mumbai,Edtech,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Jatin Solank, Vivek Gupta","Venture Catalysts, Auxano Capital, Venture Garage, Yoga Capital, Ah!Ventures, Lead Angels",2300000.0,Bridge,2021
Rage Coffee,2018.0,New Delhi,Food & Beverages,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Bharat Sethi,Sixth Sense Ventures,5000000.0,Series H,2021
Klub,2019.0,Bangalore,Financial Services,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,"Anurakt Jain, Ishita Verma","9Unicorns, Sequoia Capital India’s Surge",20000000.0,Bridge,2021
Navia Life Care,2016.0,New Delhi,Healtcare,Navia Life Care is a health technlogy company with a special focus on patient care.,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta","Anicut Angel Fund, 9 Unicorns",1000000.0,Series C,2021
1K Kirana Bazaar,2018.0,Gurugram,Retail,India's First and Largest Network of Small-Town Kirana Stores,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh","Info Edge, FalconEdge",7000000.0,Venture - Series Unknown,2021
Zupee,2018.0,Gurugram,Gaming,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","Dilsher Singh, Siddhant Saurabh","WestCap Group, Tomales Bay Capital",30000000.0,Series H,2021
Locale.ai,2019.0,Bangalore,Location Analytics,Location Analytics for Companies With Moving Assets and Ground Operations.,"Rishabh Jain, Aditi Sinha","Chiratae Ventures, Better Capital",1000000.0,Seed,2021
VerSe Innovation,2018.0,Bangalore,Media,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",Umang Bedi,"Siguler Guff, Baillie Gifford",450000000.0,Pre-Seed,2021
MetroRide,2020.0,Bangalore,Transport,"Urban Mobility Affordable, Punctual & Sustainable.","Girish Nagpal, Kaaman Agarwal",Tiger Global,4000000.0,Pre-Seed,2021
Miko,2015.0,Mumbai,Consumer Electronics,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Sneh R Vaswani, Prashant V Iyengar, Chintan S Raikar","IIFL AMC, Mankind Pharma Family Office, Aroa Ventures",28000000.0,Series A,2021
Whiz League,2020.0,New Delhi,Edtech,Revolutionizing learning experience that goes beyond academia,"Natasha Jain, Sonia Agarwal Bajaj",ITI Growth Opportunities,300000.0,Seed Round,2021
Hash,2020.0,New Delhi,Tobacco,Hash is a new startup in consumer goods.,Shwetank Jain,Amrac Investment Trust,3500000.0,Series D,2021
Unacademy,2015.0,Bangalore,Edtech,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,"Gaurav Munjal, Hemesh Singh, Roman Saini",Bhavin Turakhia,4000000.0,Series B,2021
Log 9 Materials,2014.0,Bangalore,Deeptech,Log9 Materials is on a mission to make global energy 100% clean.,"Akshay Singhal, Kartik Hajela",Amara Raja Batteries,8500000.0,Series A+,2021
upGrad,2015.0,Mumbai,Edtech,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.","Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar",Sixth Sense Ventures,25000000.0,Bridge,2021
FlashPrep,2020.0,Bangalore,Edtech,FlashPrep is the smart way to master learning.,"Dhiresh Nagwani, Ashwini Dhekane",Venture Highway,500000.0,Private Equity,2021
Kenko Health,2019.0,Mumbai,Insuretech,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","Aniruddha Sen, Dhiraj Goel","BEENEXT, Orios",1700000.0,Series A,2021
Wiz Freight,2020.0,Chennai,Transport,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.","Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,3500000.0,Seed,2021
Credgenics,2018.0,New Delhi,Financial Services,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,Kshama Fernandes,"Westbridge Capital, Tanglin Venture Partners",25000000.0,Series A,2021
BlueLearn,2020.0,Goa,Edtech,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","Harish Uthayakumar, Shreyans Sancheti","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha",400000.0,Seed Funding,2021
NimbleBox.ai,2018.0,Chennai,Mlops Platform,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,"Anshuman Pandey, Rohan Pooniwala",Venture Catalysts,1000000.0,Seed,2021
Pickrr,2015.0,Gurugram,Transport,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"Rhitiman Majumdar, Gaurav Mangla, Ankit Kaushik",We Founder Circle,12000000.0,Series B,2021
Stellaris Venture Partners,2015.0,Bangalore,Finance,Early-stage tech VC in India.,"Ritesh Banglani, Alok Goyal, Rahul Chowdhri",Elevation Capital,225000000.0,Series H,2021
Grip Invest,2020.0,Gurugram,Financial Services,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Nikhil Aggarwal, Vivek Gulati","Venture Highway, Endiya Partners",3000000.0,Series A,2021
Heads Up For Tails,2008.0,New Delhi,Pet Care,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",Rashi Sanon,"Verlinvest, Sequoia Capital India",37000000.0,Series A,2021
Blue Tokai Coffee Roasters,2012.0,New Delhi,Food & Beverages,"Source, roast, and brew India's best single-origin Arabica coffee.","Matt Chitharanjan, Shivam Shahi, Namrata Asthana",Anicut Angel Fund,2000000.0,Series I,2021
Neeman,2017.0,Hyderabad,Consumer Goods,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Taran Chhabra,Sixth Sense Ventures,2000000.0,Series A,2021
BharatPe,2018.0,New Delhi,Finance,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.","Ashneer Grover, Shashvat Nakrani",Tiger Global,370000000.0,Series E,2021
GoSats,2020.0,Bangalore,Finance,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Mohammed Roshan, Roshni Aslam","Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital",700000.0,Seed,2021
StockGro,2020.0,Bangalore,Finance,Making Investment Social- India's First Social Trading Platform,Ajay Lakhotia,"Roots Ventures, Velo Partners",5000000.0,Series I,2021
Onsurity,2020.0,Bangalore,Healthcare,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!","Yogesh Agarwal, Kulin Shah",Nexus Venture Partners,16000000.0,Series A,2021
Khabri,2017.0,Gurugram,Media,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,"Pulkit Sharma, Aankit Roy, Sandeep Singh",Blue Ashva Capital,2000000.0,Series F,2021
Celcius,2020.0,Mumbai,Transport,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,Swarup Bose,"Mumbai Angels Network, Huddle, Lumis Partners",500000.0,Series B+,2021
AyuRythm,2017.0,Bangalore,Healthcare,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,Abhilesh Gupta,SucSEED Indovation Fund,4000000.0,Seed,2021
Enguru,2014.0,Bangalore,Edtech,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,"Arshan Vakil, Tahem Veer Verma, Udit Hinduja","Potencia Ventures, Bisk Ventures, LetsVenture, Ronnie Screwvala, Arihant Patni",4000000.0,Series G,2021
Rocket Skills,2020.0,Gurugram,Edtech,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Vibhu Bahuguna, Mohit Jain","Better Capital, First Cheque, Titan Capital",200000.0,Series E,2021
RenewBuy,2015.0,Gurugram,Finance,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Balachander Sekhar,Evolvence Capital,10000000.0,Series C,2021
Faarms,2020.0,Bangalore,Agritech,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,"Taranbir Singh, Alok Duggal",Mumbai Angels Network,2000000.0,Seed,2021
UrbanMatrix Technologies,2019.0,Chennai,Drone,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,100000.0,Bridge,2021
Jupiter,2019.0,Mumbai,Finance,"A digital banking experience that keeps pace with you, and helps master money too.",Jitendra Gupta,"Nubank, Global Founders Capital, Sequoia Capital India, Matrix Partners India",44000000.0,Series B,2021
Pixuate,2012.0,Bangalore,Deeptech,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.","Akshata Kari, Prathvi Palekar",SucSEED Indovation Fund,1000000.0,Seed,2021
Playo,2014.0,Bangalore,Sportstech,Playo is a one stop destination app for all things sports,Daanish Suhail,ah! Ventures High Tables,500000.0,Series D1,2021
Toothsi,2018.0,Mumbai,Health,India’s first and largest at home smile makeover service using invisible aligners.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office",20000000.0,Series B,2021
Soothe Healthcare,2012.0,New Delhi,Consumer Goods,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",Sahil Dharia,A91 Partners,10000000.0,Series C,2021
Goodmeetings,2020.0,Bangalore,Computer Software,AI-Based Platform Built Exclusively for Remote Selling,Srinivasan Narayan,Chiratae Ventures,1700000.0,Series A,2021
Apnaklub,2020.0,Bangalore,Wholesale,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,"Shruti, Manish Kumar",Sequoia’s Surge,3500000.0,Seed,2021
